"ZONA MUNICIPAL 01"
"COLONIA DIEZ DE MAYO"
"COLONIA LAS VICTORIAS"
"ZONA MUNICIPAL 02"
"COLONIA EL ROBLE"
"COLONIA EL SAUCE"
"COLONIA LA ASUNCION"
"COLONIA MELGAR DIAZ"
"COLONIA LA FLORESTA"
"COLONIA EL ZAPOTE"
"COLONIA CIUDAD NUEVA"
"COLONIA CA—ADAS DE SAN ANGEL"
"COLONIA COLON ARGUETA"
"COLONIA BUENA VISTA"
"COLONIA LA CRUZ"
"COLONIA EL INCIENSO"
"COLONIA NUEVO AMANECER"
"PROYECTO WENDY"
"COLONIA LA COHETERIA"
"COLONIA EL RECUERDO"
"COLONIA EL BOSQUE"
"COLONIA EL ESFUERZO"
"COLONIA LA RUEDITA"
"COLONIA LA ISLA"
"COLONIA LA JOYITA"
"COLONIA LO DE BRAN"
"COLONIA ORALIA"
"COLONIA SANTA LUISA EL MILAGRO"
"COLONIA SANTA ISABEL"
"COLONIA TRINIDAD"
"COLONIA AGUILAR"
"COLONIA 3 DE MAYO"
"ZONA MUNICIPAL 04"
"COLONIA ABRIL"
"COLONIA ARRIVILLAGA"
"COLONIA LAS FUENTES"
"COLONIA EL LIMONCITO"
"COLONIA EL EDEN"
"COLONIA EL FERROCARRILERO"
"COLONIA COVIAS"
"JARDINES DE LA ASUNCION"
"COLONIA PROVIDENCIA"
"COLONIA LOURDES III"
"COLONIA LABOR"
"COLONIA LA CHACARA"
"COLONIA LOURDES FRACCION I"
"COLONIA LOURDES FRACCION II"
"COLONIA MONJA BLANCA"
"COLONIA QUINCE DE AGOSTO"
"COLONIA SAN JOSE EL ESFUERZO"
"COLONIA SANTO DOMINGO LA CHA"
"COLONIA SARAVIA"
"COLONIA SANTA ANA"
"COLONIA VEINTE DE OCTUBRE"
"COLONIA VEINTICINCO DE JUNIO"
"COLONIA VIVIBIEN"
"ZONA MUNICIPAL 06"
"COLONIA MARTINICO NO. 1"
"COLONIA BIENESTAR SOCIAL"
"COLONIA EL QUINTANAL"
"COLONIA MARTINICO NO. 2"
"COLONIA CIPRESALES"
"COLONIA LOS ANGELES"
"COLONIA EL CARMEN"
"ASENTAT0. JESUS DE LA BUENA"
"COLONIA LA JOYITA"
"FINCA LA PEDRERA"
"COLONIA PRESBITERIANA"
"COLONIA LA REINITA"
"COLONIA MODERNO SAN ANTONIO"
"COLONIA MILITAR"
"COLONIA PROYECTO 4-3"
"COLONIA PROYECTO 4-10"
"COLONIA PROYECTO 4-4"
"COLONIA SAN JUAN DE DIOS"
"COLONIA TREINTA DE JUNIO"
"COLONIA NORUEGA"
"ZOMA MUNICIPAL 07"
"COLONIA ALTAMIRA I"
"COLONIA ALTAMIRA II"
"COLONIA ALIDA ESPA—A DE ARAN"
"COLONIA PROYECTO BANVI"
"COLONIA CIUDAD DE PLATA III"
"COLONIA BETHANIA"
"COLONIA CENTRO AMERICA"
"COLONIA CIUDAD DE PLATA I"
"COLONIA CIUDAD DE PLATA II"
"COLONIA CASTILLO LARA"
"COLONIA EL INCIENSO N III"
"COLONIA VILLAS DE SAN JUAN"
"COLONIA EL RODEO"
"COLONIA EL AMPARO I"
"COLONIA GRANIZO I"
"COLONIA JARDINES TIKAL I"
"COLONIA JARDINES TIKAL II"
"COLONIA JARDINES TIKAL III"
"COLONIA JARDINES UTATLAN I"
"COLONIA KAMINAL JUYU I"
"COLONIA KAMINAL JUYU II"
"COLONIA LAS MARGARITAS"
"ASENTAMIENTO GALERAS"
"COLONIA LA VERBENA"
"COLONIA LANDIVAR"
"COLONIA QUINTA SAMAYOA"
"COLONIA MADRE DORMIDA"
"COLONIA MARTINEZ DE LEJARZA"
"COLONIA OTTEN PRADO I"
"COLONIA RESIDENCIALES LAS BRISAS"
"COLONIA SEIS DE OCTUBRE"
"COLONIA SAKERTY II"
"COLONIA SAKERTY I"
"COLONIA SAN LAZARO"
"COLONIA JARDINES DEL ROSARIO"
"COLONIA KJELL E.  LAUGERUD"
"COLONIA SAN MARTIN"
"COLONIA TECUN UMAN"
"COLONIA TOLEDO"
"COLONIA VILLAS DEL PEDREGAL"
"COLONIA VILLA LINDA I"
"COLONIA VILLA LINDA II"
"COLONIA TULAM TZU"
"ASENTAMIENTO EL ESFUERZO"
"COLONIA CUATRO DE FEBRERO"
"COLONIA SAN FRANCISCO DE ASIS"
"COLONIA SANTA ELENA"
"COLONIA OTTEN PRADO II"
"COLONIA EL AMPARO II"
"ASENTAMIENTO GALILEA"
"ASENTAMIENTO JOSUE 1:9"
"ASENTAMIENTO RENACER"
"COLONIA 26 DE JULIO"
"COLONIA UNIVERSO"
"COLONIA 21 DE NOVIEMBRE"
"COLONIA GRANIZO II"
"COLONIA GRANIZO III"
"COLONIA RESIDENCIALES LA FLO"
"COLONIA RESIDENCIALES LA ARB"
"COLONIA TORREMOLINOS"
"COLONIA NI—O DORMIDO"
"COLONIA EL COTIO"
"COLONIA VILLA LINDA III"
"COLONIA BOSQUES DE VILLA LIN"
"COLONIA RESIDENCIALES BUGAMB"
"COLONIA RESIDENCIALES CAMINO"
"COLONIA RESIDENCIALES CAMINO"
"COLONIA MARIO JULIO SALAZAR"
"ZONA MUNICIPAL 08"
"ZONA MUNICIPAL 10"
"COLONIA CONCEPCION"
"COLONIA LOMAS DE OAKLAND"
"COLONIA LAS MARGARITAS"
"COLONIA ALCAZAR"
"COLONIA ANGELANDIA"
"COLONIA SAN JORGE"
"COLONIA CONTRY CLUB"
"COLONIA EL PROGRESO"
"COLONIA CARABANCHEL"
"COLONIA GRANAI TOWNSON I"
"COLONIA GRANAI TOWNSON II"
"COLONIA GRANAI TOWNSON III"
"COLONIA JARDINES UTATLAN II"
"COLONIA LAS CHARCAS"
"COLONIA LA JOYA"
"COLONIA VALLE DE ALMERIA II"
"COLONIA LOMA LINDA I"
"COLONIA MIRADOR I"
"COLONIA MIRADOR II"
"COLONIA MARISCAL"
"COLONIA MIRAFLORES"
"COLONIA ALMENDROS II"
"COLONIA VILLAS DE MARISCAL"
"COLONIA VILLAS DE SAN CARLOS"
"COLONIA ROOSEVELTH"
"COLONIA VILLAS DE SAN CARLOS"
"COLONIA MIRALBOSQUE"
"COLONIA TOLEDO"
"COLONIA RESIDENCIAL V"
"COLONIA GRANAI TOWNSON IV"
"COLONIA VALLE DE ALMERIA I"
"ZONA MUNICIPAL 12"
"COLONIA EUREKA"
"COLONIA EL CARMEN"
"COLONIA CONDOMINIO LOMAS DE"
"ASENTAMIENTO NUESTRA SE—ORA"
"COLONIA LOS CEDROS"
"COLONIA RESIDENCIALES SAN CARLOS"
"ASENMTAMIENTO FEGUA"
"COLONIA MILES ROCK"
"COLONIA PRIMERO DE SEPTIEMBRE"
"COLONIA SANTA ROSA I"
"COLONIA SANTA ROSA II"
"COLONIA SANTA ELISA"
"COLONIA VILLA SOL"
"COLONIA EL BOSQUE"
"COLONIA TRES DE JULIO"
"COLONIA EL CAMINERO"
"COLONIA LOS CEDROS II"
"ZONA MUNICIPAL 13"
"COLONIA RESIDENCIALES LOMAS"
"COLONIA FORESTAL"
"COLONIA LA LIBERTAD"
"COLONIA LA AURORA I"
"COLONIA AURORA II"
"ASENTAMIETO PLAZA DE TOROS"
"ASENTAMIENTO LA ISLA"
"COLONIA REYNA BARRIOS"
"COLONIA SANTA FE"
"ASENTAMIENTO ESMERALDA"
"COLONIA ELGIN II"
"ZONA MUNICIPAL 14"
"COLONIA LAS CONCHAS"
"COLONIA EL CAMPO"
"COLONIA LA TERRONERA"
"COLONIA CRUZ AZUL"
"COLONIA LA CA—ADA"
"COLONIA AZALCAS"
"COLONIA RESIDENCIALES LOS CE"
"ZONA MUNICIPAL 15"
"COLONIA EL REFUGIO"
"COLONIA EL MAESTRO I"
"COLONIA EL MAESTRO II"
"COLONIA RESIDENCIALES SAN DIEGO"
"COLONIA LA TRINIDAD"
"COLONIA LOMA ALTA I Y II"
"COLONIA SAN LAZARO"
"COLONIA TECUN UMAN"
"COLONIA VISTA HERMOSA I"
"COLONIA VISTA HERMOSA II"
"COLONIA VISTA HERMOSA III"
"COLONIA VALLES DE VISTA HERMOSA"
"COLONIA JARDINES DE MINERVA"
"ZONA MUNICIPAL 16"
"CASERIO ACATAN"
"ALDEA CONCEPCION LAS LOMAS"
"CASERIO LOMAS DE CIUDAD VIEJA"
"FINCA LAS MERCEDES"
"CASERIO SAN GASPAR"
"FINCA GRANJA SAN ISIDRO"
